,id,price,ms,rooms,floor,lat,lon,air_conditioning,wardrobes,lift,exterior,garden,swimming_pool,terrace,storeroom,garage,district,subdistrict,share_loc,needs_renovating,good_condition,new_dev,pricems
1,35754175.0,78000.0,60,2.0,Semi-basement,40.4073963,-3.7553771,0,0,0,1,0,0,0,0,0, Latina , Lucero ,0,1,0,0,1300.0
2,34874545.0,710000.0,163,3.0,1,40.4545246,-3.6783422,1,1,1,1,0,0,1,0,1, Chamart\xedn , Bernab\xe9u-Hispanoam\xe9rica ,0,0,1,0,4355.82822086
3,35701386.0,146000.0,60,2.0,1,40.3953212,-3.7164596,0,0,1,1,0,0,1,0,0, Carabanchel , Comillas ,0,1,0,0,2433.33333333
4,35873027.0,289000.0,57,1.0,3,40.431454,-3.6737903,0,0,1,1,0,0,1,0,0, Salamanca , Lista ,1,0,1,0,5070.1754386
5,35869169.0,85000.0,66,2.0,4,40.3847828,-3.7269306,0,0,0,0,0,0,1,0,0, Carabanchel , Abrantes ,1,0,1,0,1287.87878788
6,34571341.0,227907.0,95,3.0,3,40.38311,-3.74653,0,0,1,1,1,1,0,1,1, Carabanchel , Vista Alegre ,1,0,0,1,2399.02105263
7,31442956.0,1690000.0,277,4.0,2,40.447695,-3.6849543,0,0,0,1,0,0,0,0,1, Chamart\xedn , El Viso ,0,1,0,0,6101.08303249
8,33497358.0,159000.0,122,4.0,2,40.3875359,-3.7405613,0,0,0,1,0,0,1,0,0, Carabanchel , Vista Alegre ,0,1,0,0,1303.27868852
9,31204692.0,117200.0,115,3.0,Ground floor,40.3830111,-3.6126222,0,1,1,1,0,0,1,0,0, Villa de Vallecas , Santa Eugenia ,0,1,0,0,1019.13043478
10,34661059.0,135000.0,82,3.0,Ground floor,40.3986811,-3.7172961,0,0,1,1,0,0,0,0,0, Carabanchel , San Isidro ,1,1,0,0,1646.34146341
11,34708830.0,995000.0,140,2.0,5,40.4293107,-3.6716736,1,1,1,1,0,0,1,0,0, Salamanca , Lista ,0,0,1,0,7107.14285714
12,36101272.0,385385.0,135,2.0,3,40.4491224,-3.6479359,0,1,1,1,1,1,1,0,0, Ciudad Lineal , San Pascual ,1,0,1,0,2854.7037037
13,31454684.0,1800000.0,150,2.0,5,40.4228557,-3.6925138,1,1,1,1,0,0,0,0,1, Salamanca , Recoletos ,0,0,1,0,12000.0
14,35857652.0,250000.0,45,1.0,1,40.4262234,-3.7071185,0,0,1,1,0,0,0,0,0, Centro , Malasa\xf1a-Universidad ,0,0,1,0,5555.55555556
15,29223161.0,1000000.0,228,5.0,7,40.4605553,-3.6903325,1,1,1,1,0,0,1,0,1, Tetu\xe1n , Cuzco-Castillejos ,0,0,1,0,4385.96491228
16,32450729.0,130000.0,70,3.0,3,40.3891147,-3.7058809,0,0,0,1,0,0,0,1,0, Usera , Moscard\xf3 ,1,1,0,0,1857.14285714
17,36437859.0,165000.0,218,2.0,Mezzanine,40.4701774,-3.7017836,0,0,1,1,0,0,0,0,0, Tetu\xe1n , Valdeacederas ,1,1,0,0,756.880733945
18,32466341.0,260000.0,91,4.0,1,40.4439792,-3.6721501,0,1,1,1,0,0,0,0,0, Chamart\xedn , Prosperidad ,0,0,1,0,2857.14285714
19,34901446.0,1100000.0,251,4.0,2,40.4158894,-3.6942478,0,0,0,0,0,0,0,0,1, Centro , Huertas-Cortes ,0,0,1,0,4382.47011952
20,36109258.0,295000.0,86,3.0,2,40.436359,-3.668484,0,0,1,1,0,0,1,0,0, Salamanca , Guindalera ,0,1,0,0,3430.23255814
21,35978845.0,136000.0,53,2.0,1,40.4742457,-3.7149022,0,0,1,1,0,0,1,0,0, Fuencarral , Pilar ,1,1,0,0,2566.03773585
22,32865384.0,270000.0,100,2.0,5,40.3608915,-3.7617689,0,1,1,1,1,1,1,1,1, Carabanchel , Pau de Carabanchel ,0,0,1,0,2700.0
23,34029886.0,167300.0,75,3.0,4,40.4078172,-3.6083133,0,0,1,1,0,0,1,0,1, Vic\xe1lvaro , Ambroz ,0,0,1,0,2230.66666667
24,31568723.0,725000.0,190,4.0,1,40.4070366,-3.6722985,1,1,1,1,0,0,0,1,1, Retiro , Ni\xf1o Jes\xfas ,0,0,1,0,3815.78947368
25,35659625.0,115000.0,83,3.0,2,40.3793227,-3.7423008,0,0,1,1,0,0,0,0,0, Carabanchel , Puerta Bonita ,0,0,1,0,1385.54216867
27,32993780.0,590000.0,176,4.0,3,40.413642,-3.6999354,0,1,0,1,0,0,0,0,0, Centro , Huertas-Cortes ,1,0,1,0,3352.27272727
28,35268754.0,126000.0,70,2.0,1,40.4472204,-3.6077441,0,1,0,1,0,0,1,1,0, San Blas , Canillejas ,0,0,1,0,1800.0
29,35869166.0,120000.0,70,2.0,Mezzanine,40.3708748,-3.7502954,0,1,1,1,1,0,0,1,0, Carabanchel , Buena Vista ,1,0,1,0,1714.28571429
30,36369508.0,115000.0,45,1.0,1,40.4104971,-3.7326378,0,1,0,1,0,0,0,0,0, Latina , Puerta del \xc1ngel ,0,0,1,0,2555.55555556
31,35484472.0,149800.0,50,1.0,1,40.4337255,-3.654096,1,1,1,1,0,0,0,1,0, Ciudad Lineal , Quintana ,1,0,1,0,2996.0
32,35501695.0,5500000.0,580,7.0,3,40.4310641,-3.6840494,0,1,1,1,0,0,1,1,1, Salamanca , Castellana ,0,0,1,0,9482.75862069
33,30155114.0,1600000.0,245,5.0,7,40.4365333,-3.689629,1,1,1,1,0,0,1,1,1, Salamanca , Castellana ,0,0,1,0,6530.6122449
34,30937213.0,580000.0,135,4.0,1,40.4344581,-3.6824102,0,0,1,0,0,0,0,0,0, Salamanca , Castellana ,0,0,1,0,4296.2962963
35,33610136.0,420000.0,163,4.0,1,40.4586749,-3.5837364,1,0,1,1,1,1,1,1,1, Barajas , Alameda de Osuna ,0,0,1,0,2576.68711656
36,34564334.0,125000.0,50,1.0,3,40.3986707,-3.664317,1,1,1,1,0,0,0,0,1, Puente de Vallecas , Numancia ,0,0,1,0,2500.0
37,36215372.0,466100.0,119,3.0,5,40.4450387,-3.6976875,0,0,1,1,0,0,0,0,0, Chamber\xed , Nuevos Ministerios-R\xedos Rosas ,1,0,1,0,3916.80672269
38,34912322.0,140000.0,86,3.0,2,40.4750403,-3.7294427,0,0,0,1,0,0,1,0,0, Fuencarral , Pe\xf1agrande ,1,1,0,0,1627.90697674
39,36406049.0,203796.0,103,3.0,4,40.3687426,-3.6123583,0,0,1,1,1,1,1,0,1, Villa de Vallecas , Ensanche de Vallecas - La Gavia ,1,0,0,1,1978.60194175
40,36406048.0,201796.0,103,3.0,3,40.3687426,-3.6123583,0,0,1,1,1,1,1,0,1, Villa de Vallecas , Ensanche de Vallecas - La Gavia ,1,0,0,1,1959.18446602
41,35642424.0,795000.0,189,4.0,1,40.4337015,-3.682744,1,1,1,0,0,0,0,1,0, Salamanca , Castellana ,0,0,1,0,4206.34920635
42,452895.0,1800000.0,264,4.0,3,40.4285552,-3.721936,0,0,1,1,0,0,1,1,1, Moncloa , Arg\xfcelles ,0,0,1,0,6818.18181818
43,35757890.0,220000.0,133,3.0,2,40.39435,-3.62295,1,1,1,1,1,0,1,1,1, Vic\xe1lvaro , Valdebernardo - Valderribas ,1,0,1,0,1654.13533835
44,29785583.0,1800000.0,360,7.0,13,40.4425613,-3.7145898,1,1,1,1,1,0,1,1,1, Chamber\xed , Vallehermoso ,0,0,1,0,5000.0
45,26403269.0,235000.0,85,2.0,2,40.4692655,-3.7215167,0,1,1,1,1,0,0,1,0, Moncloa , Valdezarza ,1,0,1,0,2764.70588235
46,36374068.0,150000.0,70,2.0,Ground floor,40.37633,-3.76331,0,0,0,1,1,0,0,0,1, Latina , \xc1guilas ,0,0,1,0,2142.85714286
47,36265055.0,360000.0,89,2.0,2,40.4353724,-3.7096337,1,1,1,0,0,0,0,0,0, Chamber\xed , Arapiles ,0,0,1,0,4044.94382022
48,33446620.0,90000.0,71,3.0,3,40.3813095,-3.712692,0,1,0,1,0,0,0,0,1, Usera , Zof\xedo ,1,0,1,0,1267.6056338
49,1645176.0,845000.0,100,2.0,6,40.4287046,-3.6970342,0,1,1,1,0,0,1,0,0, Chamber\xed , Trafalgar ,1,0,1,0,8450.0
50,36193498.0,1350000.0,285,6.0,4,40.4688047,-3.7791304,1,1,1,1,1,1,1,0,1, Moncloa , Valdemar\xedn ,1,0,1,0,4736.84210526
51,30033147.0,2600000.0,218,5.0,Ground floor,40.44474,-3.68428,1,0,1,1,0,1,1,1,1, Chamart\xedn , El Viso ,0,0,1,0,11926.6055046
52,36104533.0,210000.0,123,1.0,Ground floor,40.4397584,-3.6182809,1,1,1,1,1,0,1,1,1, San Blas , Simancas ,1,0,1,0,1707.31707317
53,35705068.0,466100.0,120,3.0,5,40.4450387,-3.6976875,0,0,1,0,0,0,0,0,0, Chamber\xed , Nuevos Ministerios-R\xedos Rosas ,1,0,1,0,3884.16666667
